"","day","experiment","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","suspicious_pkts_percent","signatures_true_positive_percent","signatures_false_positive_percent","nids_processing_time"
"1","Monday","packet_sampling_10_10",0,0,0,"32.09","97.86","0.40",56.3885126113892
"2","Monday","packet_sampling_10_25",0,0,0,"26.74","97.84","0.37",52.7390563488007
"3","Monday","packet_sampling_10_5",0,0,0,"32.84","97.92","0.53",55.516331911087
"4","Monday","packet_sampling_5_10",0,0,0,"23.32","94.90","0.45",73.9287693500519
"5","Monday","packet_sampling_5_25",0,0,0,"17.27","93.95","0.45",38.5676679611206
"6","Monday","packet_sampling_5_5",0,0,0,"24.66","95.32","0.78",61.3617694377899
"7","Monday","pre_filtering_full",1157.58348112049,456.35550702901,0.543218595502927,"14.25","96.54","5.74",40.6624064445496
"8","Monday","pre_filtering_wang_chang",360.705605419518,254.291536417981,0,"77.86","95.92","4.85",214.510941982269
"9","Tuesday","packet_sampling_10_10",0,0,0,"27.65","53.24","0.25",61.4190287590027
"10","Tuesday","packet_sampling_10_25",0,0,0,"22.63","53.19","0.30",44.1986756324768
"11","Tuesday","packet_sampling_10_5",0,0,0,"28.48","53.22","0.20",47.4861748218536
"12","Tuesday","packet_sampling_5_10",0,0,0,"20.40","29.17","0.44",42.6399033069611
"13","Tuesday","packet_sampling_5_25",0,0,0,"14.67","28.80","0.39",34.4346377849579
"14","Tuesday","packet_sampling_5_5",0,0,0,"21.57","29.28","0.50",41.5754368305206
"15","Tuesday","pre_filtering_full",1213.6795289351,484.361906998591,0.544534283983472,"12.34","98.22","2.22",36.5390455722809
"16","Tuesday","pre_filtering_wang_chang",380.991191100657,271.606460517415,0,"78.77","88.49","22.10",337.488682985306
"17","Wednesday","packet_sampling_10_10",0,0,0,"40.59","97.06","0.01",77.2697932720184
"18","Wednesday","packet_sampling_10_25",0,0,0,"35.94","96.98","0.01",71.6006450653076
"19","Wednesday","packet_sampling_10_5",0,0,0,"41.17","97.06","0.00",74.6461856365204
"20","Wednesday","packet_sampling_5_10",0,0,0,"27.63","11.36","0.31",53.7186484336853
"21","Wednesday","packet_sampling_5_25",0,0,0,"22.34","11.35","0.11",44.4584748744965
"22","Wednesday","packet_sampling_5_5",0,0,0,"28.82","11.36","0.39",53.5246138572693
"23","Wednesday","pre_filtering_full",1048.23467543915,410.82965437797,0.519089805566486,"18.01","97.97","1.23",56.5189867019653
"24","Wednesday","pre_filtering_wang_chang",323.42996108893,226.268110429289,0,"73.24","19.51","0.00",190.596227884293
"25","Thursday","packet_sampling_10_10",0,0,0,"33.41","54.36","0.21",46.255419254303
"26","Thursday","packet_sampling_10_25",0,0,0,"26.94","54.38","0.16",45.18124127388
"27","Thursday","packet_sampling_10_5",0,0,0,"34.02","54.37","0.17",46.8293240070343
"28","Thursday","packet_sampling_5_10",0,0,0,"25.98","51.42","0.38",34.8379271030426
"29","Thursday","packet_sampling_5_25",0,0,0,"18.55","50.84","0.37",36.1325445175171
"30","Thursday","packet_sampling_5_5",0,0,0,"27.20","51.65","0.44",46.1696636676788
"31","Thursday","pre_filtering_full",1146.46632818513,455.324825346424,0.511237847999764,"14.97","97.80","7.68",59.2532725334167
"32","Thursday","pre_filtering_wang_chang",376.585888473803,249.443220652165,0,"75.62","91.07","5.06",237.646638631821
"33","Friday","packet_sampling_10_10",0,0,0,"43.89","97.54","0.09",104.792288303375
"34","Friday","packet_sampling_10_25",0,0,0,"38.36","97.36","0.09",48.9404640197754
"35","Friday","packet_sampling_10_5",0,0,0,"44.72","97.91","0.08",52.0826950073242
"36","Friday","packet_sampling_5_10",0,0,0,"32.32","95.12","0.18",37.7973773479462
"37","Friday","packet_sampling_5_25",0,0,0,"25.91","93.85","0.15",38.3904430866241
"38","Friday","packet_sampling_5_5",0,0,0,"34.06","95.93","0.18",64.8048210144043
"39","Friday","pre_filtering_full",1031.17540539119,388.893152084133,0.4520876138267,"19.53","95.25","5.79",53.961555480957
"40","Friday","pre_filtering_wang_chang",320.742368327506,215.701505840142,0,"77.59","95.42","4.80",220.602397203445
