"","day","experiment","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","suspicious_pkts_percent","signatures_true_positive_percent","signatures_false_positive_percent","nids_processing_time"
"1","Monday","packet_sampling_10_10",0,0,0,"32.09","98.52","0.00",18.4660038948059
"2","Monday","packet_sampling_10_25",0,0,0,"26.74","85.52","0.00",17.6491808891296
"3","Monday","packet_sampling_10_5",0,0,0,"32.84","98.55","0.00",18.8064110279083
"4","Monday","packet_sampling_25_10",0,0,0,"39.59","99.03","0.00",19.4063684940338
"5","Monday","packet_sampling_25_25",0,0,0,"37.65","93.82","0.00",18.9014282226562
"6","Monday","packet_sampling_25_5",0,0,0,"40.04","99.03","0.00",19.785530090332
"7","Monday","packet_sampling_5_10",0,0,0,"23.32","97.31","0.01",17.505425453186
"8","Monday","packet_sampling_5_25",0,0,0,"17.27","78.58","0.06",16.6750426292419
"9","Monday","packet_sampling_5_5",0,0,0,"24.66","74.96","0.02",17.7536861896515
"10","Monday","packet_sampling_50_10",0,0,0,"43.43","99.14","0.00",19.7980360984802
"11","Monday","packet_sampling_50_25",0,0,0,"42.30","95.00","0.00",19.815491437912
"12","Monday","packet_sampling_50_5",0,0,0,"43.79","99.14","0.00",19.8595111370087
"13","Monday","pre_filtering_full",1680.174619476,1082.1234733203,0.443956778372893,"16.32","98.49","0.00",29.1018426418304
"14","Monday","pre_filtering_last_commit",1680.174619476,1082.1234733203,0.443956778372893,"16.32","66.07","0.00",16.8752429485321
"15","Monday","pre_filtering_latest_lateee",1680.174619476,1082.1234733203,0.443956778372893,"16.32","66.66","0.00",17.1981210708618
"16","Monday","pre_filtering_wang_chang",602.14544211937,334.566301829441,0,"33.14","8.08","0.00",20.0534176826477
"17","Tuesday","packet_sampling_10_10",0,0,0,"27.65","48.98","0.17",17.886382818222
"18","Tuesday","packet_sampling_10_25",0,0,0,"22.63","48.48","0.17",17.3160502910614
"19","Tuesday","packet_sampling_10_5",0,0,0,"28.48","49.01","0.06",18.1277539730072
"20","Tuesday","packet_sampling_25_10",0,0,0,"35.85","95.84","0.03",19.1385471820831
"21","Tuesday","packet_sampling_25_25",0,0,0,"34.06","95.81","0.03",18.6949300765991
"22","Tuesday","packet_sampling_25_5",0,0,0,"36.69","95.84","0.03",19.3897974491119
"23","Tuesday","packet_sampling_5_10",0,0,0,"20.40","24.89","0.22",17.0758337974548
"24","Tuesday","packet_sampling_5_25",0,0,0,"14.67","24.81","0.55",16.3138678073883
"25","Tuesday","packet_sampling_5_5",0,0,0,"21.57","24.94","0.55",17.0093457698822
"26","Tuesday","packet_sampling_50_10",0,0,0,"40.57","96.50","0.00",19.5465455055237
"27","Tuesday","packet_sampling_50_25",0,0,0,"39.53","96.47","0.00",19.3406569957733
"28","Tuesday","packet_sampling_50_5",0,0,0,"41.40","96.50","0.00",19.7383005619049
"29","Tuesday","pre_filtering_full",1615.47949134839,1040.43635630821,0.41382228495716,"14.35","90.44","0.00",19.0160226821899
"30","Tuesday","pre_filtering_last_commit",1615.47949134839,1040.43635630821,0.41382228495716,"14.35","90.10","0.03",16.6734440326691
"31","Tuesday","pre_filtering_latest_lateee",1615.47949134839,1040.43635630821,0.41382228495716,"14.35","90.21","0.00",17.3728244304657
"32","Tuesday","pre_filtering_wang_chang",617.785804375606,342.597832972673,0,"32.18","12.46","0.00",19.9277050495148
"33","Wednesday","packet_sampling_10_10",0,0,0,"40.59","91.17","0.26",21.8533797264099
"34","Wednesday","packet_sampling_10_25",0,0,0,"35.94","90.94","0.17",20.9433162212372
"35","Wednesday","packet_sampling_10_5",0,0,0,"41.17","91.64","0.17",22.1194760799408
"36","Wednesday","packet_sampling_25_10",0,0,0,"45.57","96.25","0.16",22.3193850517273
"37","Wednesday","packet_sampling_25_25",0,0,0,"43.92","96.25","0.16",22.0912144184113
"38","Wednesday","packet_sampling_25_5",0,0,0,"45.90","96.25","0.08",22.9741818904877
"39","Wednesday","packet_sampling_5_10",0,0,0,"27.63","86.95","0.09",19.8913629055023
"40","Wednesday","packet_sampling_5_25",0,0,0,"22.34","86.80","0.00",19.0924017429352
"41","Wednesday","packet_sampling_5_5",0,0,0,"28.82","87.58","0.09",19.8412840366364
"42","Wednesday","packet_sampling_50_10",0,0,0,"48.57","97.58","0.00",22.7842099666595
"43","Wednesday","packet_sampling_50_25",0,0,0,"47.63","97.50","0.00",22.7682075500488
"44","Wednesday","packet_sampling_50_5",0,0,0,"48.84","97.66","0.08",22.8132774829865
"45","Wednesday","pre_filtering_full",1579.24418476978,958.79517485034,0.619699876958807,"21.14","94.77","0.08",19.7763752937317
"46","Wednesday","pre_filtering_last_commit",1579.24418476978,958.79517485034,0.619699876958807,"21.14","94.84","0.33",18.2835524082184
"47","Wednesday","pre_filtering_latest_lateee",1579.24418476978,958.79517485034,0.619699876958807,"21.14","94.84","0.33",18.0227761268616
"48","Wednesday","pre_filtering_wang_chang",539.323520666439,300.359695981065,0,"33.86","52.03","0.00",22.2033200263977
"49","Thursday","packet_sampling_10_10",0,0,0,"33.41","5.06","0.08",17.7689430713654
"50","Thursday","packet_sampling_10_25",0,0,0,"26.94","5.00","0.08",17.1976356506348
"51","Thursday","packet_sampling_10_5",0,0,0,"34.02","5.20","0.00",17.88347864151
"52","Thursday","packet_sampling_25_10",0,0,0,"40.41","5.91","0.07",18.6855902671814
"53","Thursday","packet_sampling_25_25",0,0,0,"38.32","5.76","0.07",18.7641935348511
"54","Thursday","packet_sampling_25_5",0,0,0,"40.72","6.22","0.06",18.7675437927246
"55","Thursday","packet_sampling_5_10",0,0,0,"25.98","3.81","0.10",17.2700886726379
"56","Thursday","packet_sampling_5_25",0,0,0,"18.55","3.72","0.00",16.7456915378571
"57","Thursday","packet_sampling_5_5",0,0,0,"27.20","4.11","0.09",17.1085112094879
"58","Thursday","packet_sampling_50_10",0,0,0,"44.85","7.03","0.00",18.9660260677338
"59","Thursday","packet_sampling_50_25",0,0,0,"43.81","6.68","0.00",18.7985551357269
"60","Thursday","packet_sampling_50_5",0,0,0,"45.12","7.74","0.00",19.1719830036163
"61","Thursday","pre_filtering_full",1707.9909002604,1118.55809376182,0.466214046840681,"18.43","98.08","0.01",20.1787705421448
"62","Thursday","pre_filtering_last_commit",1707.9909002604,1118.55809376182,0.466214046840681,"18.43","97.09","0.01",16.7746598720551
"63","Thursday","pre_filtering_latest_lateee",1707.9909002604,1118.55809376182,0.466214046840681,"18.43","98.08","0.00",19.3851716518402
"64","Thursday","pre_filtering_wang_chang",523.567960609417,293.230474601817,0,"40.29","2.46","0.00",23.7099199295044
"65","Friday","packet_sampling_10_10",0,0,0,"43.89","82.50","0.23",20.3815820217133
"66","Friday","packet_sampling_10_25",0,0,0,"38.36","82.38","0.23",19.7036964893341
"67","Friday","packet_sampling_10_5",0,0,0,"44.72","82.76","0.15",20.354218006134
"68","Friday","packet_sampling_25_10",0,0,0,"50.18","88.86","0.07",21.0204210281372
"69","Friday","packet_sampling_25_25",0,0,0,"48.16","88.86","0.00",20.4425384998322
