"","day","experiment","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","suspicious_pkts_percent","signatures_true_positive_percent","signatures_false_positive_percent","nids_processing_time"
"1","Backdoor_Malware","packet_sampling_10_10",0,0,0,"58.01","95.93","0.00",6.72367644309998
"2","Backdoor_Malware","packet_sampling_10_5",0,0,0,"70.37","97.63","0.00",6.54528331756592
"3","Backdoor_Malware","packet_sampling_5_10",0,0,0,"47.09","83.05","0.00",12.7839896678925
"4","Backdoor_Malware","packet_sampling_5_25",0,0,0,"38.50","77.97","0.00",12.3707828521729
"5","Backdoor_Malware","packet_sampling_5_5",0,0,0,"61.32","85.76","0.00",18.8290114402771
"6","Backdoor_Malware","pre_filtering_full",497.348566469145,168.433201652002,0.116687615969354,"14.72","97.29","7.42",26.2535576820374
"7","Backdoor_Malware","pre_filtering_wang_chang",403.054258693961,130.339797689591,0,"18.94","99.32","0.68",27.2057402133942
"8","BenignTraffic","packet_sampling_10_10",0,0,0,"33.17","99.81","0.00",13.6346805095673
"9","BenignTraffic","packet_sampling_10_5",0,0,0,"37.84","99.91","0.00",14.0829136371613
"10","BenignTraffic","packet_sampling_5_10",0,0,0,"27.10","92.78","0.00",12.597665309906
"11","BenignTraffic","packet_sampling_5_25",0,0,0,"22.04","92.78","0.00",11.7026145458221
"12","BenignTraffic","packet_sampling_5_5",0,0,0,"32.03","93.07","0.00",15.1725060939789
"13","BenignTraffic","pre_filtering_full",604.379699707764,204.405790515927,0.265515953980226,"12.49","58.59","0.00",10.4945094585419
"14","BenignTraffic","pre_filtering_wang_chang",551.857073537102,185.691966844279,0,"14.55","99.66","0.00",13.426234960556
"15","BenignTraffic1","packet_sampling_10_10",0,0,0,"20.77","99.88","59.72",9.66530966758728
"16","BenignTraffic1","packet_sampling_10_5",0,0,0,"24.91","99.88","59.72",10.0925354957581
"17","BenignTraffic1","packet_sampling_5_10",0,0,0,"16.79","99.88","56.31",9.3237509727478
"18","BenignTraffic1","packet_sampling_5_25",0,0,0,"11.82","99.88","56.31",8.54607796669006
"19","BenignTraffic1","packet_sampling_5_5",0,0,0,"21.12","99.88","56.32",17.6546409130096
"20","BenignTraffic1","pre_filtering_full",687.337892260097,235.608885908717,0.33873143722132,"8.90","63.02","57.61",8.79590582847595
"21","BenignTraffic1","pre_filtering_wang_chang",652.186234082235,223.325520754911,0,"10.23","99.92","59.59",11.2470898628235
"22","BenignTraffic2","packet_sampling_10_10",0,0,0,"21.41","100.00","62.03",9.62587785720825
"23","BenignTraffic2","packet_sampling_10_5",0,0,0,"25.78","100.00","62.03",10.1994066238403
"24","BenignTraffic2","packet_sampling_5_10",0,0,0,"17.28","99.96","59.08",9.24788236618042
