"","pcap","experiment","pkts_processed","total_baseline_alerts","total_experiment_alerts","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","pkts_fowarded_percent","pkts_fowarded_absolute","alerts_true_positive_percent","alerts_true_positive_absolute","alerts_false_positive_percent","alerts_false_positive_absolute","nids_processing_time"
"1","Friday","packet_sampling_10_10",9997874,10869,10783,0,0,0,"43.53",4351869,"98.22",10676,"0.99",107,53.7872428894043
"2","Friday","packet_sampling_10_25",9997874,10869,10787,0,0,0,"38.04",3803258,"98.11",10664,"1.14",123,93.1609432697296
"3","Friday","packet_sampling_10_5",9997874,10869,10776,0,0,0,"44.35",4434188,"98.18",10671,"0.97",105,52.2681577205658
"4","Friday","packet_sampling_10_50",9997874,10869,10875,0,0,0,"37.88",3787181,"98.99",10759,"1.07",116,50.8138470649719
"5","Friday","packet_sampling_25_10",9997874,10869,10752,0,0,0,"49.77",4975884,"98.78",10736,"0.15",16,69.8553040027618
"6","Friday","packet_sampling_25_25",9997874,10869,10751,0,0,0,"47.76",4775109,"98.77",10735,"0.15",16,61.5221264362335
"7","Friday","packet_sampling_25_5",9997874,10869,10747,0,0,0,"50.17",5016346,"98.80",10739,"0.07",8,63.8231875896454
"8","Friday","packet_sampling_25_50",9997874,10869,10839,0,0,0,"47.61",4760041,"99.64",10830,"0.08",9,60.7192752361298
"9","Friday","packet_sampling_5_10",9997874,10869,10681,0,0,0,"32.06",3205169,"95.67",10398,"2.65",283,69.4262537956238
"10","Friday","packet_sampling_5_25",9997874,10869,10563,0,0,0,"25.70",2568961,"95.05",10331,"2.20",232,35.3943705558777
"11","Friday","packet_sampling_5_5",9997874,10869,10698,0,0,0,"33.78",3377266,"95.81",10414,"2.65",284,69.075035572052
"12","Friday","packet_sampling_5_50",9997874,10869,10561,0,0,0,"25.55",2554597,"95.03",10329,"2.20",232,34.8996243476868
"13","Friday","packet_sampling_50_10",9997874,10869,10758,0,0,0,"53.69",5367911,"98.89",10748,"0.09",10,128.334825277328
"14","Friday","packet_sampling_50_25",9997874,10869,10759,0,0,0,"52.45",5244196,"98.90",10749,"0.09",10,112.031387805939
"15","Friday","packet_sampling_50_5",9997874,10869,10759,0,0,0,"54.07",5405620,"98.89",10748,"0.10",11,70.3167066574097
"16","Friday","packet_sampling_50_50",9997874,10869,10855,0,0,0,"52.31",5230262,"99.80",10847,"0.07",8,68.9566655158997
"17","Friday","rule_based_eRBF",9997874,10869,10681,0,0,0,"24.19",2418731,"95.51",10381,"2.81",300,42.0559704303741
"18","Friday","rule_based_fast_pattern",9997874,10869,10080,0,0,0,"44.52",4451453,"87.97",9562,"5.14",518,141.026686191559
"19","Friday","rule_based_header_only",9997874,10869,10768,0,0,0,"98.50",9847683,"98.97",10757,"0.10",11,192.856295347214
"20","Friday","rule_based_header_only_0",9997874,10869,203,0,0,0,"16.48",1647503,"1.87",203,"0.00",0,12.4510033130646
"21","Friday","rule_based_header_only_1",9997874,10869,11069,0,0,0,"93.99",9396958,"98.77",10735,"3.02",334,184.373069286346
"22","Monday","packet_sampling_10_10",11709971,9205,9134,0,0,0,"31.86",3730983,"97.24",8951,"2.00",183,58.7488877773285
"23","Monday","packet_sampling_10_25",11709971,9205,9138,0,0,0,"26.55",3108691,"97.13",8941,"2.16",197,57.3791348934174
"24","Monday","packet_sampling_10_5",11709971,9205,9119,0,0,0,"32.61",3818675,"97.22",8949,"1.86",170,57.8549182415009
"25","Monday","packet_sampling_10_50",11709971,9205,9327,0,0,0,"26.12",3059198,"99.25",9136,"2.05",191,53.856006860733
"26","Monday","packet_sampling_25_10",11709971,9205,9001,0,0,0,"39.31",4602785,"97.70",8993,"0.09",8,77.509697675705
"27","Monday","packet_sampling_25_25",11709971,9205,9007,0,0,0,"37.39",4377901,"97.71",8994,"0.14",13,65.9016928672791
"28","Monday","packet_sampling_25_5",11709971,9205,9003,0,0,0,"39.75",4655068,"97.70",8993,"0.11",10,105.733511209488
"29","Monday","packet_sampling_25_50",11709971,9205,9199,0,0,0,"37.07",4340656,"99.83",9189,"0.11",10,65.9206831455231
"30","Monday","packet_sampling_5_10",11709971,9205,8873,0,0,0,"23.16",2711477,"92.94",8555,"3.58",318,43.528559923172
"31","Monday","packet_sampling_5_25",11709971,9205,8744,0,0,0,"17.14",2007460,"91.94",8463,"3.21",281,38.1633772850037
"32","Monday","packet_sampling_5_5",11709971,9205,8914,0,0,0,"24.48",2866821,"93.21",8580,"3.75",334,62.9030139446259
"33","Monday","packet_sampling_5_50",11709971,9205,8739,0,0,0,"16.74",1959923,"91.91",8460,"3.19",279,38.42209815979
"34","Monday","packet_sampling_50_10",11709971,9205,9009,0,0,0,"43.12",5049246,"97.76",8999,"0.11",10,93.7795879840851
"35","Monday","packet_sampling_50_25",11709971,9205,9009,0,0,0,"42.00",4918522,"97.76",8999,"0.11",10,79.7452435493469
"36","Monday","packet_sampling_50_5",11709971,9205,9010,0,0,0,"43.48",5091353,"97.76",8999,"0.12",11,76.8516170978546
"37","Monday","packet_sampling_50_50",11709971,9205,9199,0,0,0,"41.71",4884005,"99.88",9194,"0.05",5,75.1731247901917
"38","Monday","rule_based_eRBF",11709971,9205,8912,0,0,0,"15.39",1802236,"92.65",8528,"4.31",384,43.763477563858
"39","Monday","rule_based_fast_pattern",11709971,9205,8651,0,0,0,"48.59",5690247,"88.01",8101,"6.36",550,190.980226993561
"40","Monday","rule_based_header_only",11709971,9205,9014,0,0,0,"98.70",11557271,"97.85",9007,"0.08",7,240.27822637558
"41","Monday","rule_based_header_only_0",11709971,9205,1,0,0,0,"18.31",2143753,"0.01",1,"0.00",0,15.1590254306793
"42","Monday","rule_based_header_only_1",11709971,9205,9216,0,0,0,"94.37",11050394,"97.26",8953,"2.85",263,240.025633096695
"43","Thursday","packet_sampling_10_10",9322025,7633,7543,0,0,0,"33.12",3087059,"97.45",7438,"1.39",105,46.5875177383423
"44","Thursday","packet_sampling_10_25",9322025,7633,7547,0,0,0,"26.70",2489119,"97.38",7433,"1.51",114,48.0307261943817
"45","Thursday","packet_sampling_10_5",9322025,7633,7536,0,0,0,"33.72",3143789,"97.48",7441,"1.26",95,46.7161178588867
"46","Thursday","packet_sampling_10_50",9322025,7633,7648,0,0,0,"26.54",2473767,"98.62",7528,"1.57",120,45.073844909668
"47","Thursday","packet_sampling_25_10",9322025,7633,7503,0,0,0,"40.06",3734394,"98.17",7493,"0.13",10,69.5483369827271
"48","Thursday","packet_sampling_25_25",9322025,7633,7498,0,0,0,"37.98",3540773,"98.17",7493,"0.07",5,59.5333950519562
"49","Thursday","packet_sampling_25_5",9322025,7633,7507,0,0,0,"40.37",3763091,"98.22",7497,"0.13",10,58.193000793457
"50","Thursday","packet_sampling_25_50",9322025,7633,7602,0,0,0,"37.82",3525184,"99.41",7588,"0.18",14,55.8860647678375
"51","Thursday","packet_sampling_5_10",9322025,7633,7274,0,0,0,"25.75",2400708,"91.81",7008,"3.66",266,40.2595434188843
"52","Thursday","packet_sampling_5_25",9322025,7633,7163,0,0,0,"18.39",1714154,"90.76",6928,"3.28",235,32.2737379074097
"53","Thursday","packet_sampling_5_5",9322025,7633,7301,0,0,0,"26.96",2513363,"92.10",7030,"3.71",271,72.891108751297
"54","Thursday","packet_sampling_5_50",9322025,7633,7162,0,0,0,"18.25",1701216,"90.76",6928,"3.27",234,30.9950430393219
"55","Thursday","packet_sampling_50_10",9322025,7633,7515,0,0,0,"44.46",4144432,"98.30",7503,"0.16",12,109.178575277328
"56","Thursday","packet_sampling_50_25",9322025,7633,7510,0,0,0,"43.43",4048337,"98.27",7501,"0.12",9,114.735188484192
"57","Thursday","packet_sampling_50_5",9322025,7633,7516,0,0,0,"44.73",4169489,"98.28",7502,"0.19",14,65.5481395721436
"58","Thursday","packet_sampling_50_50",9322025,7633,7604,0,0,0,"43.26",4032995,"99.54",7598,"0.08",6,64.859090089798
"59","Thursday","rule_based_eRBF",9322025,7633,7440,0,0,0,"16.76",1562604,"93.37",7127,"4.21",313,39.6540544033051
"60","Thursday","rule_based_fast_pattern",9322025,7633,7366,0,0,0,"47.80",4456368,"89.10",6801,"7.67",565,145.065411090851
"61","Thursday","rule_based_header_only",9322025,7633,7522,0,0,0,"98.17",9151155,"98.45",7515,"0.09",7,204.837324380875
"62","Thursday","rule_based_header_only_0",9322025,7633,7,0,0,0,"20.13",1876904,"0.09",7,"0.00",0,13.265068769455
"63","Thursday","rule_based_header_only_1",9322025,7633,7796,0,0,0,"91.71",8549535,"97.05",7408,"4.98",388,182.267829418182
"64","Tuesday","packet_sampling_10_10",11551954,15691,15647,0,0,0,"27.45",3170973,"98.92",15521,"0.81",126,49.7244527339935
"65","Tuesday","packet_sampling_10_25",11551954,15691,15662,0,0,0,"22.47",2595466,"98.85",15511,"0.96",151,86.392701625824
"66","Tuesday","packet_sampling_10_5",11551954,15691,15635,0,0,0,"28.27",3266031,"98.92",15522,"0.72",113,49.2418124675751
"67","Tuesday","packet_sampling_10_50",11551954,15691,15774,0,0,0,"22.32",2578958,"99.59",15627,"0.93",147,45.5069854259491
"68","Tuesday","packet_sampling_25_10",11551954,15691,15565,0,0,0,"35.59",4111819,"99.12",15553,"0.08",12,71.7926828861237
"69","Tuesday","packet_sampling_25_25",11551954,15691,15554,0,0,0,"33.81",3906275,"99.06",15544,"0.06",10,62.5285136699677
"70","Tuesday","packet_sampling_25_5",11551954,15691,15560,0,0,0,"36.43",4208197,"99.10",15550,"0.06",10,69.8463916778564
"71","Tuesday","packet_sampling_25_50",11551954,15691,15673,0,0,0,"33.65",3886994,"99.85",15667,"0.04",6,61.7199971675873
"72","Tuesday","packet_sampling_5_10",11551954,15691,7489,0,0,0,"20.25",2339513,"45.86",7196,"3.91",293,56.5985014438629
"73","Tuesday","packet_sampling_5_25",11551954,15691,7387,0,0,0,"14.57",1682689,"45.47",7135,"3.41",252,32.6703760623932
"74","Tuesday","packet_sampling_5_5",11551954,15691,7517,0,0,0,"21.41",2473634,"46.02",7221,"3.94",296,64.9321999549866
"75","Tuesday","packet_sampling_5_50",11551954,15691,7388,0,0,0,"14.45",1669715,"45.47",7134,"3.44",254,32.725884437561
"76","Tuesday","packet_sampling_50_10",11551954,15691,15572,0,0,0,"40.29",4653737,"99.16",15559,"0.08",13,101.778572559357
"77","Tuesday","packet_sampling_50_25",11551954,15691,15562,0,0,0,"39.25",4533765,"99.13",15554,"0.05",8,89.2282855510712
"78","Tuesday","packet_sampling_50_5",11551954,15691,15565,0,0,0,"41.11",4748554,"99.14",15556,"0.06",9,81.7679352760315
"79","Tuesday","packet_sampling_50_50",11551954,15691,15673,0,0,0,"39.09",4515717,"99.87",15670,"0.02",3,76.6922650337219
"80","Tuesday","rule_based_eRBF",11551954,15691,15448,0,0,0,"13.54",1564240,"96.69",15172,"1.79",276,37.7798817157745
"81","Tuesday","rule_based_fast_pattern",11551954,15691,11886,0,0,0,"49.78",5750250,"72.74",11413,"3.98",473,203.911492586136
"82","Tuesday","rule_based_header_only",11551954,15691,15572,0,0,0,"98.68",11399374,"99.20",15565,"0.04",7,264.184554338455
"83","Tuesday","rule_based_header_only_0",11551954,15691,3,0,0,0,"16.23",1874648,"0.02",3,"0.00",0,13.2918956279755
"84","Tuesday","rule_based_header_only_1",11551954,15691,15756,0,0,0,"94.56",10923453,"98.67",15483,"1.73",273,259.55603313446
"85","Wednesday","packet_sampling_10_10",13788878,52687,52621,0,0,0,"40.34",5562896,"99.69",52524,"0.18",97,81.3473086357117
"86","Wednesday","packet_sampling_10_25",13788878,52687,52615,0,0,0,"35.72",4925196,"99.67",52515,"0.19",100,81.8302536010742
"87","Wednesday","packet_sampling_10_5",13788878,52687,52613,0,0,0,"40.92",5642491,"99.69",52526,"0.17",87,77.9717035293579
"88","Wednesday","packet_sampling_10_50",13788878,52687,52679,0,0,0,"35.51",4896569,"99.80",52583,"0.18",96,73.5117032527924
"89","Wednesday","packet_sampling_25_10",13788878,52687,52590,0,0,0,"45.30",6246129,"99.80",52581,"0.02",9,93.8992314338684
"90","Wednesday","packet_sampling_25_25",13788878,52687,52595,0,0,0,"43.66",6019949,"99.81",52585,"0.02",10,85.3917217254639
"91","Wednesday","packet_sampling_25_5",13788878,52687,52592,0,0,0,"45.62",6290881,"99.80",52582,"0.02",10,158.430996656418
"92","Wednesday","packet_sampling_25_50",13788878,52687,52665,0,0,0,"43.51",5999463,"99.94",52657,"0.02",8,84.8360505104065
"93","Wednesday","packet_sampling_5_10",13788878,52687,29303,0,0,0,"27.46",3786846,"55.13",29044,"0.88",259,47.3473374843597
"94","Wednesday","packet_sampling_5_25",13788878,52687,29183,0,0,0,"22.21",3061829,"54.95",28954,"0.78",229,45.0954270362854
"95","Wednesday","packet_sampling_5_5",13788878,52687,29331,0,0,0,"28.65",3950368,"55.17",29065,"0.91",266,88.5337433815002
"96","Wednesday","packet_sampling_5_50",13788878,52687,29095,0,0,0,"22.01",3034347,"54.79",28866,"0.79",229,44.2448039054871
"97","Wednesday","packet_sampling_50_10",13788878,52687,52603,0,0,0,"48.28",6657137,"99.82",52593,"0.02",10,105.324696063995
"98","Wednesday","packet_sampling_50_25",13788878,52687,52606,0,0,0,"47.35",6528371,"99.82",52592,"0.03",14,100.498446464539
"99","Wednesday","packet_sampling_50_5",13788878,52687,52601,0,0,0,"48.55",6694413,"99.82",52591,"0.02",10,95.5852391719818
"100","Wednesday","packet_sampling_50_50",13788878,52687,52677,0,0,0,"47.21",6509586,"99.96",52668,"0.02",9,93.022228717804
"101","Wednesday","rule_based_eRBF",13788878,52687,51621,0,0,0,"22.52",3104667,"97.30",51267,"0.69",354,58.6838326454163
"102","Wednesday","rule_based_fast_pattern",13788878,52687,31986,0,0,0,"47.78",6588806,"60.48",31863,"0.38",123,164.529525756836
"103","Wednesday","rule_based_header_only",13788878,52687,52618,0,0,0,"98.89",13635474,"99.85",52608,"0.02",10,274.922831535339
"104","Wednesday","rule_based_header_only_0",13788878,52687,4,0,0,0,"13.90",1916777,"0.01",4,"0.00",0,13.5164086818695
"105","Wednesday","rule_based_header_only_1",13788878,52687,52879,0,0,0,"95.47",13164003,"99.80",52583,"0.56",296,272.104706287384
