"","pcap","experiment","pkts_processed","total_baseline_alerts","total_experiment_alerts","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","pkts_fowarded_percent","pkts_fowarded_absolute","alerts_true_positive_percent","alerts_true_positive_absolute","alerts_false_positive_percent","alerts_false_positive_absolute","nids_processing_time"
"1","Backdoor_Malware","packet_sampling_10_10",30399,0,0,0,0,0,"58.01",17634,"100",0,"0",0,15.7663912773132
"2","Backdoor_Malware","packet_sampling_10_25",30399,0,0,0,0,0,"50.04",15212,"100",0,"0",0,18.7635312080383
"3","Backdoor_Malware","packet_sampling_10_5",30399,0,0,0,0,0,"70.37",21391,"100",0,"0",0,21.1778540611267
"4","Backdoor_Malware","packet_sampling_10_50",30399,0,0,0,0,0,"45.50",13831,"100",0,"0",0,16.1528429985046
"5","Backdoor_Malware","packet_sampling_25_10",30399,0,0,0,0,0,"71.48",21728,"100",0,"0",0,16.82825922966
"6","Backdoor_Malware","packet_sampling_25_25",30399,0,0,0,0,0,"67.29",20454,"100",0,"0",0,16.5933680534363
"7","Backdoor_Malware","packet_sampling_25_5",30399,0,0,0,0,0,"80.05",24335,"100",0,"0",0,21.3331925868988
"8","Backdoor_Malware","packet_sampling_25_50",30399,0,0,0,0,0,"64.32",19552,"100",0,"0",0,16.5413641929626
"9","Backdoor_Malware","packet_sampling_5_10",30399,0,0,0,0,0,"47.09",14315,"100",0,"0",0,28.8663074970245
"10","Backdoor_Malware","packet_sampling_5_25",30399,0,0,0,0,0,"38.50",11704,"100",0,"0",0,17.4603180885315
"11","Backdoor_Malware","packet_sampling_5_5",30399,0,0,0,0,0,"61.32",18640,"100",0,"0",0,30.6020188331604
"12","Backdoor_Malware","packet_sampling_5_50",30399,0,0,0,0,0,"32.43",9859,"100",0,"0",0,17.6428623199463
"13","Backdoor_Malware","packet_sampling_50_10",30399,0,0,0,0,0,"83.65",25429,"100",0,"0",0,16.4383237361908
"14","Backdoor_Malware","packet_sampling_50_25",30399,0,0,0,0,0,"82.98",25224,"100",0,"0",0,28.7426958084106
"15","Backdoor_Malware","packet_sampling_50_5",30399,0,0,0,0,0,"86.76",26375,"100",0,"0",0,16.5817568302155
"16","Backdoor_Malware","rule_based_eRBF",30399,0,0,0,0,0,"15.20",4620,"100",0,"0",0,70.3029892444611
"17","Backdoor_Malware","rule_based_fast_pattern",30399,0,0,0,0,0,"30.96",9412,"100",0,"0",0,27.9920079708099
"18","Backdoor_Malware","rule_based_header_only",30399,0,0,0,0,0,"66.61",20250,"100",0,"0",0,29.8540425300598
"19","BenignTraffic","packet_sampling_10_10",3534248,10,10,0,0,0,"33.17",1172172,"100.00",10,"0.00",0,15.7316761016846
"20","BenignTraffic","packet_sampling_10_25",3534248,10,10,0,0,0,"27.23",962456,"100.00",10,"0.00",0,15.3824458122253
"21","BenignTraffic","packet_sampling_10_5",3534248,10,10,0,0,0,"37.84",1337252,"100.00",10,"0.00",0,15.8891422748566
"22","BenignTraffic","packet_sampling_10_50",3534248,10,10,0,0,0,"23.78",840391,"100.00",10,"0.00",0,15.5772595405579
"23","BenignTraffic","packet_sampling_25_10",3534248,10,10,0,0,0,"38.25",1351925,"100.00",10,"0.00",0,15.7752962112427
"24","BenignTraffic","packet_sampling_25_25",3534248,10,10,0,0,0,"30.78",1087788,"100.00",10,"0.00",0,15.4133048057556
"25","BenignTraffic","packet_sampling_25_5",3534248,10,10,0,0,0,"42.87",1515308,"100.00",10,"0.00",0,16.0936195850372
"26","BenignTraffic","packet_sampling_25_50",3534248,10,10,0,0,0,"27.30",964789,"100.00",10,"0.00",0,15.4554386138916
"27","BenignTraffic","packet_sampling_5_10",3534248,10,10,0,0,0,"27.10",957876,"100.00",10,"0.00",0,15.3766782283783
"28","BenignTraffic","packet_sampling_5_25",3534248,10,10,0,0,0,"22.04",779099,"100.00",10,"0.00",0,15.2680733203888
"29","BenignTraffic","packet_sampling_5_5",3534248,10,10,0,0,0,"32.03",1132152,"100.00",10,"0.00",0,17.3583245277405
"30","BenignTraffic","packet_sampling_5_50",3534248,10,10,0,0,0,"18.61",657610,"100.00",10,"0.00",0,15.1507258415222
