"","day","experiment","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","suspicious_pkts_percent","signatures_true_positive_percent","nids_processing_time"
"1","Monday","packet_sampling_10_10",0,0,0,"32.09","97.84",54.3766403198242
"2","Monday","packet_sampling_10_25",0,0,0,"26.74","97.82",52.084911108017
"3","Monday","packet_sampling_10_5",0,0,0,"32.84","97.88",54.9667363166809
"4","Monday","PS N=25 T=10s",0,0,0,"39.59","97.97",64.9820675849915
"5","Monday","packet_sampling_25_25",0,0,0,"37.65","97.98",63.0745820999146
"6","Monday","packet_sampling_25_5",0,0,0,"40.04","98.16",65.3490326404572
"7","Monday","packet_sampling_5_10",0,0,0,"23.32","94.89",39.6244065761566
"8","Monday","PS N=5 T=25s",0,0,0,"17.27","93.95",36.970189332962
"9","Monday","packet_sampling_5_5",0,0,0,"24.66","95.32",40.7812919616699
"10","Monday","packet_sampling_50_10",0,0,0,"43.43","98.40",72.7925963401794
"11","Monday","packet_sampling_50_25",0,0,0,"42.30","98.36",71.4480531215668
"12","Monday","PS N=50 T=5s",0,0,0,"43.79","98.43",72.8688762187958
"13","Monday","Our work",1452.70326365454,559.958213133064,0.543804335638406,"15.82","96.39",35.1546788215637
"14","Monday","Wang and Chang",658.37184788929,303.517809992868,0,"77.82","96.02",212.174758911133
"15","Tuesday","packet_sampling_10_10",0,0,0,"27.65","53.23",46.0909457206726
"16","Tuesday","packet_sampling_10_25",0,0,0,"22.63","53.21",43.9510998725891
"17","Tuesday","packet_sampling_10_5",0,0,0,"28.48","53.23",46.9919819831848
"18","Tuesday","PS N=25 T=10s",0,0,0,"35.85","98.97",60.1029722690582
"19","Tuesday","packet_sampling_25_25",0,0,0,"34.06","98.95",58.7752087116241
"20","Tuesday","packet_sampling_25_5",0,0,0,"36.69","98.97",62.6211342811584
"21","Tuesday","packet_sampling_5_10",0,0,0,"20.40","29.19",34.0968234539032
"22","Tuesday","PS N=5 T=25s",0,0,0,"14.67","28.81",31.9521758556366
"23","Tuesday","packet_sampling_5_5",0,0,0,"21.57","29.28",35.2428171634674
"24","Tuesday","packet_sampling_50_10",0,0,0,"40.57","99.06",73.4493491649628
"25","Tuesday","packet_sampling_50_25",0,0,0,"39.53","99.03",72.1296577453613
"26","Tuesday","PS N=50 T=5s",0,0,0,"41.40","99.06",76.2730362415314
"27","Tuesday","Our work",1519.20714876462,594.951097104438,0.557283988492336,"13.04","98.31",30.0844871997833
"28","Tuesday","Wang and Chang",661.668304600243,319.442401172996,0,"78.74","88.67",229.301222324371
"29","Wednesday","packet_sampling_10_10",0,0,0,"40.59","97.06",74.0735976696014
"30","Wednesday","packet_sampling_10_25",0,0,0,"35.94","96.98",72.0163745880127
"31","Wednesday","packet_sampling_10_5",0,0,0,"41.17","97.05",74.7679023742676
"32","Wednesday","PS N=25 T=10s",0,0,0,"45.57","99.95",81.8487114906311
"33","Wednesday","packet_sampling_25_25",0,0,0,"43.92","99.95",81.7141969203949
"34","Wednesday","packet_sampling_25_5",0,0,0,"45.90","99.95",84.5439538955688
"35","Wednesday","packet_sampling_5_10",0,0,0,"27.63","11.36",45.7377161979675
"36","Wednesday","PS N=5 T=25s",0,0,0,"22.34","11.35",42.6753120422363
